shipment_id,order_id,order_date,delivery_month,customer_region,supplier_id,supplier_name,reliability_score,reliability_band,warehouse_id,warehouse_name,city,overload_risk_band,product_id,product_name,category,order_quantity,order_value_eur,priority,shipment_status,promised_delivery_date,actual_delivery_date,delay_days,late_delivery_flag,delay_reason,stockout_risk_flag,warehouse_overload_flag
SHP-000014,ORD-000014,2025-05-07,2025-05,DE-East,SUP-017,Main River Electronics,0.811,medium,WH-006,Leipzig Distribution Center,Leipzig,medium,PRD-0110,Aluminium Rod 0110,Raw Materials,179,45047.14,standard,delivered,2025-05-18,2025-05-19,1.0,True,carrier_delay,False,False
SHP-000015,ORD-000015,2025-10-29,2025-11,DE-West,SUP-008,Hanseatic Materials,0.604,low,WH-008,Dortmund Distribution Center,Dortmund,medium,PRD-0006,Valve 0006,Mechanical,172,18992.24,standard,delivered,2025-11-10,2025-11-13,3.0,True,carrier_delay,False,False
SHP-000016,ORD-000016,2025-08-12,2025-08,DE-Central,SUP-018,Elbe Manufacturing,0.745,medium,WH-006,Leipzig Distribution Center,Leipzig,medium,PRD-0077,Rubber Seal 0077,Raw Materials,345,129150.75,expedited,delivered,2025-08-19,2025-08-19,0.0,False,,True,False
SHP-000017,ORD-000017,2025-10-24,2025-11,DE-West,SUP-014,Baltic Packaging,0.868,medium,WH-002,Hamburg Distribution Center,Hamburg,medium,PRD-0160,Foam Insert 0160,Packaging,739,79656.81,standard,delivered,2025-11-01,2025-10-31,-1.0,False,,True,False
SHP-000018,ORD-000018,2025-10-08,2025-10,DE-East,SUP-010,Black Forest Plastics,0.829,medium,WH-006,Leipzig Distribution Center,Leipzig,medium,PRD-0170,Scanner 0170,Electronics,9,700.02,standard,delivered,2025-10-16,2025-10-15,-1.0,False,,False,False
SHP-000019,ORD-000019,2025-10-17,2025-10,DE-East,SUP-015,Alpine Industrial Parts,0.925,high,WH-007,Stuttgart Distribution Center,Stuttgart,low,PRD-0158,Rubber Seal 0158,Raw Materials,50,19492.0,standard,delivered,2025-10-24,2025-10-25,1.0,True,,False,False
SHP-000020,ORD-000020,2025-07-31,2025-08,DE-South,SUP-004,Nordic Freight Supplies,0.931,high,WH-004,Cologne Distribution Center,Cologne,low,PRD-0017,Cover Sheet 0017,Textiles,156,13809.12,standard,delivered,2025-08-13,2025-08-12,-1.0,False,,False,False
SHP-000021,ORD-000021,2025-01-19,2025-01,DE-East,SUP-019,Danube Tools,0.652,low,WH-007,Stuttgart Distribution Center,Stuttgart,low,PRD-0125,Controller 0125,Electronics,74,5188.88,standard,delivered,2025-01-27,2025-01-27,0.0,False,,False,False
SHP-000022,ORD-000022,2025-11-05,2025-11,DE-South,SUP-018,Elbe Manufacturing,0.745,medium,WH-006,Leipzig Distribution Center,Leipzig,medium,PRD-0022,Scanner 0022,Electronics,21,7649.88,expedited,delivered,2025-11-15,2025-11-13,-2.0,False,,False,False
SHP-000023,ORD-000023,2025-10-25,2025-11,DE-South,SUP-018,Elbe Manufacturing,0.745,medium,WH-002,Hamburg Distribution Center,Hamburg,medium,PRD-0147,Work Gloves 0147,Textiles,278,82607.7,standard,delivered,2025-11-01,2025-11-07,6.0,True,warehouse_capacity_constraint,False,True
SHP-000024,ORD-000024,2025-03-31,2025-04,DE-East,SUP-003,Alpine Industrial Parts,0.922,high,WH-002,Hamburg Distribution Center,Hamburg,medium,PRD-0037,Bracket 0037,Mechanical,150,63030.0,standard,delivered,2025-04-06,2025-04-09,3.0,True,inventory_shortage,False,False
SHP-000025,ORD-000025,2025-06-07,2025-06,DE-West,SUP-018,Elbe Manufacturing,0.745,medium,WH-006,Leipzig Distribution Center,Leipzig,medium,PRD-0038,Valve 0038,Mechanical,320,23657.6,standard,delivered,2025-06-14,2025-06-13,-1.0,False,,False,False
SHP-000026,ORD-000026,2025-07-18,2025-07,DE-South,SUP-003,Alpine Industrial Parts,0.922,high,WH-008,Dortmund Distribution Center,Dortmund,medium,PRD-0061,Controller 0061,Electronics,105,17442.6,expedited,delivered,2025-07-24,2025-07-23,-1.0,False,,False,False
SHP-000027,ORD-000027,2025-01-18,2025-01,DE-North,SUP-009,Ruhr Mechanical,0.965,high,WH-007,Stuttgart Distribution Center,Stuttgart,low,PRD-0165,Carton 0165,Packaging,214,45609.82,expedited,delivered,2025-01-28,2025-01-28,0.0,False,,True,False
SHP-000028,ORD-000028,2025-06-30,2025-07,DE-South,SUP-018,Elbe Manufacturing,0.745,medium,WH-002,Hamburg Distribution Center,Hamburg,medium,PRD-0130,Controller 0130,Electronics,145,16037.0,expedited,delivered,2025-07-10,2025-07-11,1.0,True,,True,False
SHP-000029,ORD-000029,2025-02-26,2025-03,DE-South,SUP-023,Saxon Metals,0.93,high,WH-005,Frankfurt Distribution Center,Frankfurt,medium,PRD-0052,Safety Vest 0052,Textiles,274,33600.62,standard,delivered,2025-03-09,2025-03-09,0.0,False,,True,False
SHP-000030,ORD-000030,2025-05-25,2025-06,DE-Central,SUP-012,Bavaria Textile Group,0.813,medium,WH-006,Leipzig Distribution Center,Leipzig,medium,PRD-0176,Bracket 0176,Mechanical,222,8098.56,standard,delivered,2025-06-09,2025-06-09,0.0,False,,False,False
SHP-000031,ORD-000031,2025-03-28,2025-04,DE-East,SUP-018,Elbe Manufacturing,0.745,medium,WH-004,Cologne Distribution Center,Cologne,low,PRD-0119,Label Roll 0119,Packaging,928,9112.96,standard,delivered,2025-04-05,2025-04-15,10.0,True,supplier_late_dispatch,True,False
SHP-000032,ORD-000032,2025-05-17,2025-05,DE-South,SUP-014,Baltic Packaging,0.868,medium,WH-004,Cologne Distribution Center,Cologne,low,PRD-0058,Bearing 0058,Mechanical,263,13649.7,standard,delivered,2025-05-24,2025-05-24,0.0,False,,False,False
SHP-000033,ORD-000033,2025-05-15,2025-05,DE-West,SUP-016,Nordic Freight Supplies,0.901,high,WH-005,Frankfurt Distribution Center,Frankfurt,medium,PRD-0008,Plastic Resin 0008,Raw Materials,250,15207.5,expedited,delivered,2025-05-30,2025-05-28,-2.0,False,,False,False
SHP-000034,ORD-000034,2025-11-02,2025-11,DE-Central,SUP-013,Rhine Components,0.887,high,WH-007,Stuttgart Distribution Center,Stuttgart,low,PRD-0099,Cable 0099,Electronics,29,7557.11,standard,in_transit,2025-11-08,,,,,False,False
SHP-000035,ORD-000035,2025-12-10,2025-12,DE-West,SUP-001,Rhine Components,0.724,medium,WH-007,Stuttgart Distribution Center,Stuttgart,low,PRD-0065,Label Roll 0065,Packaging,1195,220847.95,standard,delivered,2025-12-17,2025-12-17,0.0,False,,True,False
SHP-000036,ORD-000036,2025-06-10,2025-06,DE-West,SUP-022,Black Forest Plastics,0.971,high,WH-002,Hamburg Distribution Center,Hamburg,medium,PRD-0067,Gear 0067,Mechanical,75,15057.0,standard,delivered,2025-06-20,2025-06-20,0.0,False,,False,False
SHP-000037,ORD-000037,2025-12-03,2025-12,DE-East,SUP-002,Baltic Packaging,0.954,high,WH-006,Leipzig Distribution Center,Leipzig,medium,PRD-0043,Scanner 0043,Electronics,117,43734.6,standard,delivered,2025-12-15,2025-12-18,3.0,True,warehouse_capacity_constraint,True,True
SHP-000038,ORD-000038,2025-03-17,2025-03,DE-Central,SUP-013,Rhine Components,0.887,high,WH-008,Dortmund Distribution Center,Dortmund,medium,PRD-0092,Valve 0092,Mechanical,57,19573.23,standard,delivered,2025-03-25,2025-03-28,3.0,True,warehouse_capacity_constraint,False,False
SHP-000039,ORD-000039,2025-12-13,2025-12,DE-North,SUP-018,Elbe Manufacturing,0.745,medium,WH-003,Munich Distribution Center,Munich,medium,PRD-0147,Work Gloves 0147,Textiles,178,52892.7,standard,delivered,2025-12-20,2025-12-18,-2.0,False,,False,False
SHP-000040,ORD-000040,2025-11-01,2025-11,DE-Central,SUP-024,Bavaria Textile Group,0.894,high,WH-005,Frankfurt Distribution Center,Frankfurt,medium,PRD-0117,Plastic Resin 0117,Raw Materials,188,16735.76,critical,in_transit,2025-11-16,,,,,False,False
SHP-000041,ORD-000041,2025-11-05,2025-11,DE-East,SUP-001,Rhine Components,0.724,medium,WH-005,Frankfurt Distribution Center,Frankfurt,medium,PRD-0013,Plastic Resin 0013,Raw Materials,224,59637.76,standard,delivered,2025-11-12,2025-11-10,-2.0,False,,False,False
SHP-000042,ORD-000042,2025-03-03,2025-03,DE-Central,SUP-011,Saxon Metals,0.611,low,WH-003,Munich Distribution Center,Munich,medium,PRD-0166,Rubber Seal 0166,Raw Materials,430,126269.5,standard,delivered,2025-03-12,2025-03-12,0.0,False,,False,False
SHP-000043,ORD-000043,2025-09-01,2025-09,DE-Central,SUP-015,Alpine Industrial Parts,0.925,high,WH-007,Stuttgart Distribution Center,Stuttgart,low,PRD-0115,Aluminium Rod 0115,Raw Materials,327,52509.66,standard,delivered,2025-09-09,2025-09-09,0.0,False,,True,False
SHP-000044,ORD-000044,2025-11-28,2025-12,DE-East,SUP-019,Danube Tools,0.652,low,WH-004,Cologne Distribution Center,Cologne,low,PRD-0174,Plastic Resin 0174,Raw Materials,99,22345.29,expedited,delivered,2025-12-08,2025-12-08,0.0,False,,False,False
SHP-000045,ORD-000045,2025-10-10,2025-10,DE-North,SUP-023,Saxon Metals,0.93,high,WH-005,Frankfurt Distribution Center,Frankfurt,medium,PRD-0033,Valve 0033,Mechanical,33,3125.1,standard,delivered,2025-10-24,2025-10-28,4.0,True,carrier_delay,False,False
SHP-000046,ORD-000046,2025-07-21,2025-07,DE-West,SUP-010,Black Forest Plastics,0.829,medium,WH-008,Dortmund Distribution Center,Dortmund,medium,PRD-0170,Scanner 0170,Electronics,111,8633.58,expedited,delivered,2025-07-27,2025-07-28,1.0,True,,False,False
SHP-000047,ORD-000047,2025-11-06,2025-11,DE-Central,SUP-008,Hanseatic Materials,0.604,low,WH-002,Hamburg Distribution Center,Hamburg,medium,PRD-0048,Cable 0048,Electronics,32,3113.6,standard,delivered,2025-11-15,2025-11-16,1.0,True,warehouse_capacity_constraint,False,True
SHP-000048,ORD-000048,2025-12-20,2025-12,DE-South,SUP-011,Saxon Metals,0.611,low,WH-006,Leipzig Distribution Center,Leipzig,medium,PRD-0159,Gear 0159,Mechanical,212,43843.72,expedited,in_transit,2025-12-27,,,,,True,True
SHP-000049,ORD-000049,2025-10-03,2025-10,DE-East,SUP-016,Nordic Freight Supplies,0.901,high,WH-004,Cologne Distribution Center,Cologne,low,PRD-0167,Strap 0167,Textiles,164,46472.68,expedited,delivered,2025-10-17,2025-10-18,1.0,True,supplier_late_dispatch,True,False
SHP-000050,ORD-000050,2025-04-14,2025-04,DE-Central,SUP-015,Alpine Industrial Parts,0.925,high,WH-004,Cologne Distribution Center,Cologne,low,PRD-0150,Plastic Resin 0150,Raw Materials,444,185463.24,expedited,delivered,2025-04-19,2025-04-25,6.0,True,carrier_delay,False,False
SHP-000051,ORD-000051,2025-09-07,2025-09,DE-East,SUP-019,Danube Tools,0.652,low,WH-007,Stuttgart Distribution Center,Stuttgart,low,PRD-0125,Controller 0125,Electronics,20,1402.4,standard,delivered,2025-09-16,2025-09-16,0.0,False,,False,False
SHP-000052,ORD-000052,2025-01-11,2025-01,DE-East,SUP-014,Baltic Packaging,0.868,medium,WH-006,Leipzig Distribution Center,Leipzig,medium,PRD-0160,Foam Insert 0160,Packaging,443,47750.97,standard,delivered,2025-01-18,2025-01-25,7.0,True,carrier_delay,True,False
SHP-000053,ORD-000053,2025-12-11,2025-12,DE-Central,SUP-021,Ruhr Mechanical,0.841,medium,WH-007,Stuttgart Distribution Center,Stuttgart,low,PRD-0100,Carton 0100,Packaging,787,210813.69,expedited,delivered,2025-12-19,2025-12-24,5.0,True,inventory_shortage,True,False
SHP-000054,ORD-000054,2025-06-05,2025-06,DE-Central,SUP-015,Alpine Industrial Parts,0.925,high,WH-008,Dortmund Distribution Center,Dortmund,medium,PRD-0107,Gear 0107,Mechanical,295,33155.05,standard,delivered,2025-06-10,2025-06-11,1.0,True,,False,False
SHP-000055,ORD-000055,2025-09-07,2025-09,DE-Central,SUP-013,Rhine Components,0.887,high,WH-007,Stuttgart Distribution Center,Stuttgart,low,PRD-0087,Strap 0087,Textiles,184,55595.6,expedited,delivered,2025-09-13,2025-09-12,-1.0,False,,False,False
SHP-000056,ORD-000056,2025-11-09,2025-11,DE-East,SUP-008,Hanseatic Materials,0.604,low,WH-008,Dortmund Distribution Center,Dortmund,medium,PRD-0113,Bracket 0113,Mechanical,62,11412.34,expedited,delivered,2025-11-18,2025-11-19,1.0,True,supplier_late_dispatch,False,False
SHP-000057,ORD-000057,2025-01-04,2025-01,DE-Central,SUP-004,Nordic Freight Supplies,0.931,high,WH-006,Leipzig Distribution Center,Leipzig,medium,PRD-0040,Controller 0040,Electronics,126,15319.08,standard,delivered,2025-01-19,2025-01-24,5.0,True,warehouse_capacity_constraint,False,True
SHP-000058,ORD-000058,2025-08-15,2025-08,DE-North,SUP-007,Danube Tools,0.771,medium,WH-007,Stuttgart Distribution Center,Stuttgart,low,PRD-0036,Work Gloves 0036,Textiles,15,543.15,standard,delivered,2025-08-25,2025-08-27,2.0,True,quality_hold,False,False
SHP-000059,ORD-000059,2025-12-15,2025-12,DE-East,SUP-016,Nordic Freight Supplies,0.901,high,WH-005,Frankfurt Distribution Center,Frankfurt,medium,PRD-0015,Controller 0015,Electronics,82,10482.88,expedited,delivered,2025-12-30,2026-01-01,2.0,True,carrier_delay,False,False
SHP-000060,ORD-000060,2025-12-24,2025-12,DE-South,SUP-014,Baltic Packaging,0.868,medium,WH-008,Dortmund Distribution Center,Dortmund,medium,PRD-0160,Foam Insert 0160,Packaging,878,94639.62,expedited,delivered,2025-12-30,2025-12-30,0.0,False,,True,True
SHP-000061,ORD-000061,2025-09-24,2025-09,DE-East,SUP-013,Rhine Components,0.887,high,WH-005,Frankfurt Distribution Center,Frankfurt,medium,PRD-0024,Cover Sheet 0024,Textiles,335,73174.05,standard,delivered,2025-09-30,2025-09-30,0.0,False,,True,False
SHP-000062,ORD-000062,2025-11-18,2025-12,DE-Central,SUP-016,Nordic Freight Supplies,0.901,high,WH-005,Frankfurt Distribution Center,Frankfurt,medium,PRD-0096,Plastic Resin 0096,Raw Materials,83,9130.83,standard,delivered,2025-12-01,2025-11-29,-2.0,False,,False,False
SHP-000063,ORD-000063,2025-12-08,2025-12,DE-South,SUP-018,Elbe Manufacturing,0.745,medium,WH-005,Frankfurt Distribution Center,Frankfurt,medium,PRD-0077,Rubber Seal 0077,Raw Materials,386,144499.1,standard,delivered,2025-12-16,2025-12-15,-1.0,False,,False,False
SHP-000064,ORD-000064,2025-12-31,2026-01,DE-Central,SUP-024,Bavaria Textile Group,0.894,high,WH-003,Munich Distribution Center,Munich,medium,PRD-0026,Strap 0026,Textiles,220,42321.4,standard,delivered,2026-01-11,2026-01-13,2.0,True,supplier_late_dispatch,False,False
SHP-000065,ORD-000065,2025-11-22,2025-11,DE-East,SUP-015,Alpine Industrial Parts,0.925,high,WH-008,Dortmund Distribution Center,Dortmund,medium,PRD-0150,Plastic Resin 0150,Raw Materials,245,102338.95,standard,delivered,2025-11-30,2025-11-29,-1.0,False,,False,False
SHP-000066,ORD-000066,2025-12-22,2025-12,DE-North,SUP-015,Alpine Industrial Parts,0.925,high,WH-002,Hamburg Distribution Center,Hamburg,medium,PRD-0136,Valve 0136,Mechanical,252,50294.16,standard,delivered,2025-12-28,2025-12-26,-2.0,False,,False,False
SHP-000067,ORD-000067,2025-09-25,2025-10,DE-North,SUP-008,Hanseatic Materials,0.604,low,WH-001,Berlin Distribution Center,Berlin,medium,PRD-0075,Rubber Seal 0075,Raw Materials,210,5443.2,standard,delivered,2025-10-06,2025-10-05,-1.0,False,,False,False
SHP-000068,ORD-000068,2025-09-08,2025-09,DE-East,SUP-013,Rhine Components,0.887,high,WH-003,Munich Distribution Center,Munich,medium,PRD-0056,Valve 0056,Mechanical,290,84076.8,standard,delivered,2025-09-14,2025-09-14,0.0,False,,False,False
SHP-000069,ORD-000069,2025-06-16,2025-06,DE-South,SUP-022,Black Forest Plastics,0.971,high,WH-003,Munich Distribution Center,Munich,medium,PRD-0034,Label Roll 0034,Packaging,888,160035.36,standard,delivered,2025-06-27,2025-07-01,4.0,True,carrier_delay,False,False
SHP-000070,ORD-000070,2025-10-15,2025-10,DE-Central,SUP-005,Main River Electronics,0.945,high,WH-005,Frankfurt Distribution Center,Frankfurt,medium,PRD-0162,Foam Insert 0162,Packaging,1195,518976.55,standard,delivered,2025-10-28,2025-10-28,0.0,False,,False,False
SHP-000071,ORD-000071,2025-01-10,2025-01,DE-East,SUP-004,Nordic Freight Supplies,0.931,high,WH-003,Munich Distribution Center,Munich,medium,PRD-0169,Carton 0169,Packaging,471,92914.17,standard,delivered,2025-01-25,2025-01-25,0.0,False,,True,False
SHP-000072,ORD-000072,2025-08-01,2025-08,DE-West,SUP-001,Rhine Components,0.724,medium,WH-003,Munich Distribution Center,Munich,medium,PRD-0112,Cover Sheet 0112,Textiles,280,57010.8,standard,delivered,2025-08-09,2025-08-09,0.0,False,,True,True
SHP-000073,ORD-000073,2025-12-14,2025-12,DE-East,SUP-009,Ruhr Mechanical,0.965,high,WH-007,Stuttgart Distribution Center,Stuttgart,low,PRD-0079,Gear 0079,Mechanical,324,91802.16,critical,delivered,2025-12-22,2025-12-25,3.0,True,warehouse_capacity_constraint,False,True
SHP-000074,ORD-000074,2025-11-02,2025-11,DE-East,SUP-023,Saxon Metals,0.93,high,WH-004,Cologne Distribution Center,Cologne,low,PRD-0052,Safety Vest 0052,Textiles,262,32129.06,standard,delivered,2025-11-16,2025-11-17,1.0,True,carrier_delay,False,False
SHP-000075,ORD-000075,2025-11-30,2025-12,DE-Central,SUP-008,Hanseatic Materials,0.604,low,WH-002,Hamburg Distribution Center,Hamburg,medium,PRD-0069,Valve 0069,Mechanical,165,7458.0,standard,delivered,2025-12-12,2025-12-11,-1.0,False,,False,True
SHP-000076,ORD-000076,2025-10-12,2025-10,DE-West,SUP-002,Baltic Packaging,0.954,high,WH-007,Stuttgart Distribution Center,Stuttgart,low,PRD-0138,Cover Sheet 0138,Textiles,10,394.2,expedited,delivered,2025-10-27,2025-10-25,-2.0,False,,False,False
SHP-000077,ORD-000077,2025-10-27,2025-11,DE-Central,SUP-015,Alpine Industrial Parts,0.925,high,WH-004,Cologne Distribution Center,Cologne,low,PRD-0090,Scanner 0090,Electronics,77,4934.93,standard,delivered,2025-11-05,2025-11-05,0.0,False,,False,False
SHP-000078,ORD-000078,2025-11-22,2025-12,DE-North,SUP-008,Hanseatic Materials,0.604,low,WH-006,Leipzig Distribution Center,Leipzig,medium,PRD-0054,Strap 0054,Textiles,241,33684.57,standard,delivered,2025-12-03,2025-12-07,4.0,True,supplier_late_dispatch,True,False
SHP-000079,ORD-000079,2025-12-23,2026-01,DE-East,SUP-004,Nordic Freight Supplies,0.931,high,WH-003,Munich Distribution Center,Munich,medium,PRD-0003,Bracket 0003,Mechanical,211,48567.98,standard,delivered,2026-01-03,2026-01-04,1.0,True,,False,False
SHP-000080,ORD-000080,2025-12-30,2026-01,DE-Central,SUP-019,Danube Tools,0.652,low,WH-001,Berlin Distribution Center,Berlin,medium,PRD-0046,Carton 0046,Packaging,234,88019.1,expedited,delivered,2026-01-07,2026-01-21,14.0,True,quality_hold,False,False
SHP-000081,ORD-000081,2025-10-19,2025-10,DE-North,SUP-011,Saxon Metals,0.611,low,WH-007,Stuttgart Distribution Center,Stuttgart,low,PRD-0051,Controller 0051,Electronics,48,15954.24,standard,delivered,2025-10-30,2025-10-29,-1.0,False,,False,False
SHP-000082,ORD-000082,2025-05-21,2025-06,DE-North,SUP-011,Saxon Metals,0.611,low,WH-004,Cologne Distribution Center,Cologne,low,PRD-0146,Work Gloves 0146,Textiles,21,3022.53,critical,delivered,2025-06-01,2025-06-01,0.0,False,,False,False
SHP-000083,ORD-000083,2025-08-27,NaT,DE-South,SUP-018,Elbe Manufacturing,0.745,medium,WH-005,Frankfurt Distribution Center,Frankfurt,medium,PRD-0105,Aluminium Rod 0105,Raw Materials,284,79094.0,expedited,delivered,,2025-09-04,0.0,False,,False,True
SHP-000084,ORD-000084,2025-05-08,2025-05,DE-West,SUP-018,Elbe Manufacturing,0.745,medium,WH-001,Berlin Distribution Center,Berlin,medium,PRD-0147,Work Gloves 0147,Textiles,178,52892.7,standard,delivered,2025-05-15,2025-05-13,-2.0,False,,False,True
SHP-000085,ORD-000085,2025-11-14,2025-11,DE-North,SUP-002,Baltic Packaging,0.954,high,WH-008,Dortmund Distribution Center,Dortmund,medium,PRD-0028,Steel Sheet 0028,Raw Materials,68,22947.96,standard,delivered,2025-11-29,2025-11-27,-2.0,False,,False,True
SHP-000086,ORD-000086,2025-08-10,2025-08,DE-Central,SUP-017,Main River Electronics,0.811,medium,WH-001,Berlin Distribution Center,Berlin,medium,PRD-0114,Aluminium Rod 0114,Raw Materials,366,78620.46,standard,delivered,2025-08-21,2025-08-19,-2.0,False,,False,False
SHP-000087,ORD-000087,2025-11-14,2025-11,DE-Central,SUP-013,Rhine Components,0.887,high,WH-008,Dortmund Distribution Center,Dortmund,medium,PRD-0099,Cable 0099,Electronics,11,2866.49,standard,delivered,2025-11-22,2025-11-23,1.0,True,inventory_shortage,False,False
SHP-000088,ORD-000088,2025-11-14,2025-11,DE-Central,SUP-019,Danube Tools,0.652,low,WH-006,Leipzig Distribution Center,Leipzig,medium,PRD-0066,Bracket 0066,Mechanical,134,26190.3,standard,delivered,2025-11-20,2025-11-23,3.0,True,weather_disruption,False,True
SHP-000089,ORD-000089,2025-11-05,2025-11,DE-Central,SUP-001,Rhine Components,0.724,medium,WH-005,Frankfurt Distribution Center,Frankfurt,medium,PRD-0121,Foam Insert 0121,Packaging,805,39694.55,critical,delivered,2025-11-15,2025-11-13,-2.0,False,,False,False
SHP-000090,ORD-000090,2025-06-24,2025-07,DE-West,SUP-022,Black Forest Plastics,0.971,high,WH-004,Cologne Distribution Center,Cologne,low,PRD-0089,Scanner 0089,Electronics,126,33740.28,standard,delivered,2025-07-05,2025-07-05,0.0,False,,False,False
SHP-000091,ORD-000091,2025-12-21,2025-12,DE-West,SUP-009,Ruhr Mechanical,0.965,high,WH-002,Hamburg Distribution Center,Hamburg,medium,PRD-0042,Label Roll 0042,Packaging,486,111376.62,standard,delivered,2025-12-30,2025-12-30,0.0,False,,True,False
SHP-000092,ORD-000092,2025-10-12,2025-10,DE-South,SUP-013,Rhine Components,0.887,high,WH-001,Berlin Distribution Center,Berlin,medium,PRD-0092,Valve 0092,Mechanical,158,54255.62,standard,delivered,2025-10-22,2025-10-20,-2.0,False,,False,False
SHP-000093,ORD-000093,2025-04-02,2025-04,DE-West,SUP-013,Rhine Components,0.887,high,WH-004,Cologne Distribution Center,Cologne,low,PRD-0087,Strap 0087,Textiles,100,30215.0,expedited,delivered,2025-04-08,2025-04-08,0.0,False,,False,True
SHP-000094,ORD-000094,2025-12-05,2025-12,DE-South,SUP-024,Bavaria Textile Group,0.894,high,WH-004,Cologne Distribution Center,Cologne,low,PRD-0117,Plastic Resin 0117,Raw Materials,289,25726.78,critical,delivered,2025-12-20,2025-12-18,-2.0,False,,False,False
SHP-000095,ORD-000095,2025-12-22,2026-01,DE-South,SUP-017,Main River Electronics,0.811,medium,WH-007,Stuttgart Distribution Center,Stuttgart,low,PRD-0137,Gear 0137,Mechanical,316,134110.4,standard,delivered,2026-01-03,2026-01-03,0.0,False,,False,False
SHP-000096,ORD-000096,2025-10-27,2025-11,DE-Central,SUP-002,Baltic Packaging,0.954,high,WH-005,Frankfurt Distribution Center,Frankfurt,medium,PRD-0014,Controller 0014,Electronics,58,1948.22,expedited,delivered,2025-11-10,2025-11-09,-1.0,False,,False,False
